_id,id,username,followers,text,hashtags,created,,,,,,,,,,,,
Trump is elected... He starts correcting our Chinese trade imbalance... China pays billions in t…,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac84"")",1.23992E+18,GerryVaughan,270,RT @seijibk: anti-trump messaging has suffered from too many targets. have never been able to focus on a single message frame for why he’s…,[],,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac85"")",1.23992E+18,STAINEDbodyart,711,STOP THINKING JOE BIDEN IS A COMPROMISE!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
He is a conservative LYING benefits cutter with a history of being just l… https://t.co/tI5uhLqUjy,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac86"")",1.23992E+18,TekStol,5340,RT @thomaskaine5: Do you know anyone who likes trump?  POLLS about trump support are all BS.  His support is closer to 10% - 20%.  Women, n…,"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac87"")",1.23992E+18,nilsie,2981,RT @SenWhitehouse: The giant cruise companies incorporate overseas to dodge US taxes, flag vessels overseas to avoid US taxes and laws,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac88"")",1.23992E+18,Primetime_Jen,166,RT @ChrisLu44: BREAKING: A week before Inauguration Day 2017, Trump team participated in a tabletop exercise with outgoing Obama team about…,"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac89"")",1.23992E+18,RalphBentley3,8,RT @LindseyGrahamSC: My primary goal is to lessen the loss of life.  ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Our economy can be rebuilt.  The loss of life is permanent. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
I appr…,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac8a"")",1.23992E+18,LeslieKofoed,2766,RT @CaslerNoel: Trump’s too stupid to know but Chinese laborers built the transcontinental railroad which brought the workers to San Franci…,[],,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac8b"")",1.23992E+18,flyovertruth,697,"RT @JYSexton: What we're seeing with Trump attacking governors and Democrats is the beginning of the ""traitor"" narrative. As the deaths pil…",[],,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac8c"")",1.23992E+18,MyGovtIsTOOBig,2339,RT @strangerintown2: Dr. Ronny Jackson says Trump prevented American coronavirus pandemic on level of Italy, Iran https://t.co/fGKwVYGyS2 #…,"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac8d"")",1.23992E+18,daglagl,62,RT @morten: Timeline of Trump's pandemic response: ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
In May 2018, Trump ordered the NSC’s global health security unit shut down. In April 2…,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac8e"")",1.23992E+18,GoofyGary7,279,@BenResists @Gameon68 @PoliticsPot @Atheist_Dragon @marine_moe @gorillastyle @zaharias19 @fitts_dr @DonnaShank10… https://t.co/Eq37NvYRUi,[],,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac8f"")",1.23992E+18,paulconnew1,1824,HOCUS POTUS the man with a warped focus,[],,,,,,,,,,,,,
"ObjectId(""5e70de49c4dbc3d94b4cac90"")",1.23992E+18,CJ4mnstrs,458,RT @fred_guttenberg: I stand with my friend @GabbyGiffords and am truly thankful that she is endorsing @JoeBiden for President.  As we have…,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac91"")",1.23992E+18,IABdofNursing,59,#supportnursesandmives Practice #SocialDistancing,"[{text"":""supportnursesandmives""",22]},"{""text"":""SocialDistancing""",indices:[32,"49]}]""","2020-03-17T14:27:16.000Z""""",,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac92"")",1.23992E+18,EstokOllo,115,"RT @briantylercohen: *First* coronavirus was the Democrats' ""new hoax"" just like Russia and impeachment"," and *now* we're at ""Trump TRIED DE…","2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac93"")",1.23992E+18,IllgJilly,174,RT @kylegriffin1: 60% of U.S. residents say they have not very much or no trust at all in the communication they receive from Trump about t…,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac94"")",1.23992E+18,mirandamuseum,1892,RT @NoahBookbinder: Given the Attorney General's consistent interference in cases that impact the President politically, this sudden decisi…,"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac95"")",1.23992E+18,cafeangst,967,RT @sarahkendzior: Podcast from a year ago on the Trump admin mindset. You need to grasp this point to understand their response to coronav…,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac96"")",1.23992E+18,akaXochi,2699,RT @MikeJoPro: Where is the First Lady? Under previous administrations she would be using her voice to calm the fears of a concerned nation…,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac97"")",1.23992E+18,OkieStateFan12,4010,RT @johncardillo: I disagree with my good friend @Cernovich ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
We need to fire back with shock and awe. The left caused this. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
This is what…,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac98"")",1.23992E+18,jann1295,971,Here's the buffoon talking about getting rid of the pandemic team in the White House which he did in 2018. Says he… https://t.co/etxiOB5c6f,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac99"")",1.23992E+18,SueSund2,89,RT @SRuhle: Please read,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac9a"")",1.23992E+18,detroitnews,290799,The president targeted Gov. Gretchen Whitmer in a tweet this morning after she criticized the federal response to c… https://t.co/nMCFvWhIeZ,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac9b"")",1.23992E+18,Erinschwartz17,2272,RT @robreiner: While we all hunker down and face this crisis, quietly the DOJ drops charges against Russian companies that helped Trump win…,"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac9c"")",1.23992E+18,That_dudechris,899,America will never do this,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac9d"")",1.23992E+18,Incorrigible2,9123,RT @marklevinshow: Democrats, with a celebratory media,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac9e"")",1.23992E+18,needcoffee46355,610,RT @funder: “Inaction, people die. The Trump Admin completely bungled, the rollout of testing. This lack…,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4cac9f"")",1.23992E+18,CatherineLicht1,3513,@ddiamond His transition team didn’t take a pandemic scenario seriously when it was presented by President Obama’s… https://t.co/5ga6qJbAIl,[],,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4caca0"")",1.23992E+18,yvonne_erdmann,5790,RT @JeffBlueWave1: Oops, looks like he did take responsibility for firing the Global Pandemic team back in 2018. #TrumpCoronaDisaster ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Vid…,"[{text"":""TrumpCoronaDisaster""",indices:[113,"133]}]""","2020-03-17T14:27:17.000Z""""",,,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4caca1"")",1.23992E+18,BuskerK9,2776,CNN gets a Zero... and you are in the negatives..,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
What is your problem anyway..?    you are just a little cry baby… https://t.co/LrHbBqq0Qa,[],"2020-03-17T14:27:16.000Z""""",,,,,,,,,,,,,,,,
"ObjectId(""5e70de4ac4dbc3d94b4caca2"")",1.23992E+18,VOICEOFCHID,6504,RT @yesgregyes: This is what happens when you elect a White Nationalist Mental Midget: the fallacy of skin pigmentation falls off like a ma…,[],,,,,,,,,,,,,
